       INelastic distributin calculated from Bichsel prog COV and integral prog of Z.Chaoui
       22059
       einb() -> e energy		einbi() ->					tinbi() -> 
      106.780600000000000       63.566270000000000   9.611922172997287E-001
      106.780600000000000       66.265060000000010   9.653735256991212E-001
      106.780600000000000       67.785140000000000   9.675759977085257E-001
      106.780600000000000       69.927710000000010   9.705108198978777E-001
      106.780600000000000       71.357429999999990   9.723672214335992E-001
      106.780600000000000       72.075100000000010   9.732698961156074E-001
      106.780600000000000       72.214460000000000   9.734429313524489E-001
      106.780600000000000       72.353820000000000   9.736155148001602E-001
      106.780600000000000       72.493170000000010   9.737871946696112E-001
      106.780600000000000       72.632530000000000   9.739579709608018E-001
      106.780600000000000       72.771890000000000   9.741282954628625E-001
      106.780600000000000       72.911240000000010   9.742981681757930E-001
      106.780600000000000       73.050600000000000   9.744671373104633E-001
      106.780600000000000       73.189960000000000   9.746352028668731E-001
      106.780600000000000       73.329320000000000   9.748028166341530E-001
