# Differential cross section for electron-argon scattering

# Data from 0.136 to 1.424 eV:
# Arati Dasgupta and A. K. Bhatia, Scattering of electrons from argon atoms,
# PHYSICAL REVIEW A, VOLUME 32, NUMBER 6 (1985)

# Data from 3 to 300 eV:
# Sultana N. Nahar and J. M. Wadehra, Elastic scattering of
# positrons and electrons by argon, PHYSICAL REVIEW A, VOLUME 35, NUMBER 5 (1987)

# Dimension of matrix:
# dimX
20
# dimY
38

# Data: First line is the energy, the first column the angle
# Negative values are ignored. Therefore -1 is used as place holder if no 
# data for this energy/angle combination exists.
# The column for the zero energy is the same one like the column for 0.136 eV. It shouldn't 
# have an important impact, cause we are interested in data for much more energy.
# The first element doesn't matter...
125	1.06411E-22	1.06411E-22	1.12011E-22	5.79659E-22	1.17612E-21	7.8688E-22	8.70889E-22	2.07501E-21	2.9683E-21	3.41635E-21	3.19233E-21	2.36064E-21	1.48975E-21	2.9123E-22	7.36475E-23	3.38835E-22	5.04051E-22	5.23653E-22	4.84449E-22
130	8.68088E-23	8.68088E-23	1.23213E-22	5.54456E-22	9.49297E-22	5.57257E-22	1.45335E-21	5.09652E-21	4.59247E-21	3.27633E-21	1.85659E-21	1.15372E-21	6.63668E-22	2.43345E-22	3.64037E-22	7.19673E-22	7.8968E-22	7.19673E-22	6.18863E-22
135	7.28074E-23	7.28074E-23	1.31613E-22	5.26454E-22	7.47676E-22	5.51656E-22	2.74428E-21	9.49297E-21	7.39275E-21	3.83639E-21	8.98892E-22	3.33234E-22	2.71908E-22	5.8806E-22	9.60498E-22	1.24333E-21	1.14252E-21	9.49297E-22	7.72879E-22
140	6.16063E-23	6.16063E-23	1.37214E-22	4.9565E-22	5.76859E-22	7.53277E-22	4.64847E-21	1.50935E-20	1.13972E-20	5.18053E-21	4.81649E-22	2.88429E-23	4.06041E-22	1.34974E-21	1.85379E-21	1.89299E-21	1.54576E-21	1.20132E-21	9.35295E-22
145	5.32054E-23	5.32054E-23	1.40014E-22	4.64847E-22	4.36844E-22	1.12851E-21	7.05672E-21	2.16462E-20	1.64097E-20	7.30874E-21	6.55267E-22	2.82829E-22	1.08371E-21	2.48945E-21	2.99631E-21	2.62947E-21	1.977E-21	1.46735E-21	1.10611E-21
150	4.48046E-23	4.48046E-23	1.42815E-22	4.36844E-22	3.27633E-22	1.62697E-21	9.801E-21	2.88429E-20	2.22063E-20	1.0025E-20	1.38614E-21	1.05011E-21	2.23743E-21	3.9204E-21	4.31244E-21	3.41635E-21	2.41945E-21	1.72778E-21	1.27133E-21
155	3.9204E-23	3.9204E-23	1.42815E-22	4.11642E-22	2.46425E-22	2.18702E-21	1.26293E-20	3.58437E-20	2.82829E-20	1.31333E-20	2.55386E-21	2.21503E-21	3.72438E-21	5.54456E-21	5.71258E-21	4.20043E-21	2.85629E-21	1.977E-21	1.42535E-21
160	3.64037E-23	3.64037E-23	1.42815E-22	3.8924E-22	1.87619E-22	2.75828E-21	1.53456E-20	4.25643E-20	3.41635E-20	1.63257E-20	3.9484E-21	3.58437E-21	5.37655E-21	7.16873E-21	7.05672E-21	4.9285E-21	3.22033E-21	2.20102E-21	1.56256E-21
165	3.08031E-23	3.08031E-23	1.42815E-22	3.72438E-22	1.51215E-22	3.27633E-21	1.77258E-20	4.84449E-20	3.9484E-20	1.9266E-20	5.37655E-21	4.9565E-21	6.97271E-21	8.65288E-21	8.26084E-21	5.54456E-21	3.55636E-21	2.38864E-21	1.67737E-21
170	3.08031E-23	3.08031E-23	1.42815E-22	3.58437E-22	1.26013E-22	3.66837E-21	1.9602E-20	5.32054E-20	4.36844E-20	2.16462E-20	6.60867E-21	6.13262E-21	8.28884E-21	9.857E-21	9.21294E-21	6.02061E-21	3.80839E-21	2.52866E-21	1.76418E-21
175	2.80029E-23	2.80029E-23	1.42815E-22	3.52836E-22	1.17612E-22	3.9484E-21	2.07781E-20	5.60057E-20	4.64847E-20	2.31864E-20	7.42076E-21	6.9167E-21	9.15693E-21	1.06131E-20	9.829E-21	6.32864E-21	3.9764E-21	2.61547E-21	1.81739E-21
180	2.80029E-23	2.80029E-23	1.42815E-22	3.50036E-22	1.12011E-22	4.03241E-21	2.11422E-20	5.71258E-20	4.73248E-20	2.37184E-20	7.70078E-21	7.19673E-21	9.46496E-21	1.08651E-20	1.0025E-20	6.44066E-21	4.03241E-21	2.64627E-21	1.83419E-21
