12
   1 1s1/2 2  1.43270000E+04
   2 2s1/2 2  1.92460000E+03
   3 2p1/2 2  1.73090000E+03
   4 2p3/2 4  1.67840000E+03
   5 3s1/2 2  2.92800000E+02
   6 3p1/2 2  2.22200000E+02
   7 3p3/2 4  2.14400000E+02
   8 3d3/2 4  9.50000000E+01
   9 3d5/2 6  9.38000000E+01
  10 4s1/2 2  2.75100000E+01
  11 4p1/2 2  1.46500000E+01
  12 4p3/2 4  1.40000000E+01
   6  8 12  1.33504000E-01  1.07050000E+02
   6  9 11  1.35410000E-01  1.07710000E+02
   6  9 12  1.33880000E-02  1.08420000E+02
   6 10 10  2.31230000E-04  1.60240000E+02
   6 10 11  4.65011000E-03  1.74250000E+02
   6 10 12  5.69246000E-04  1.74960000E+02
   6 11 11  2.30383000E-03  1.88260000E+02
   6 11 12  7.49094000E-03  1.88970000E+02
   6 12 12  1.98199000E-04  1.89680000E+02
   7  8  0  1.41139000E-05  1.11610000E+02
   7  9  0  1.32959000E-04  1.12980000E+02
   7 10  0  3.23128000E-05  1.79520000E+02
   7  9 12  2.28386000E-01  1.00260000E+02
   7 10 10  1.79160000E-04  1.52080000E+02
   7 10 11  3.00946000E-04  1.66090000E+02
   7 10 12  5.72675000E-03  1.66800000E+02
   7 11 11  5.56009000E-05  1.80100000E+02
   7 11 12  4.76317000E-03  1.80810000E+02
   7 12 12  7.00116000E-03  1.81520000E+02
   2  3 30  1.48729000E-01  1.74000000E+02
   2  4 30  1.27861000E-01  2.28900000E+02
   3 30  0  1.79799000E-09  1.72830000E+03
   3  4 30  9.70975000E-02  5.49000000E+01
   5 30  0  4.78762000E-05  2.78170000E+02
   5  6 30  2.59163000E-01  6.30500000E+01
   5  7 30  4.52925000E-01  7.12100000E+01
   5  8 30  2.73097000E-02  1.82820000E+02
   5  9 30  1.83723000E-02  1.84190000E+02
   6  8 30  5.80476000E-01  1.19770000E+02
   6  9 30  3.30412000E-02  1.21140000E+02
   7  8 30  3.57487000E-01  1.11610000E+02
   7  9 30  3.95920000E-01  1.12980000E+02
   8 30  0  8.35663000E-06  9.53500000E+01
   8 10 30  7.90383000E-01  6.79100000E+01
   8 11 30  1.67850000E-01  8.19200000E+01
   8 12 30  4.17582000E-02  8.26300000E+01
   9 30  0  6.96921000E-06  9.39800000E+01
   9 10 30  7.76661000E-01  6.65400000E+01
   9 11 30  8.26121000E-02  8.05500000E+01
   9 12 30  1.40720000E-01  8.12600000E+01
