21
   1	1s      2   90526
   2	2s      2   16388
   3	2p1/2	2   15711
   4	2p3/2	4   13419
   5	3s      2   3999
   6	3p1/2	2   3696
   7	3p3/2	4   3177
   8	3d3/2	4   2688
   9    3d5/2	6   2580
   10	4s      2   939
   11	4p1/2	2   805.2
   12	4p3/2	4   678.8
   13	4d3/2	2   464
   14	4d5/2	2   440.1
   15	4f5/2	2   162.3
   16	4f7/2	2   157
   17	5s      2   159.3
   18	5p1/2	2   119
   19	5p3/2	2   92.6
   20	5d3/2	2   26.9
   21	5d5/2	2   23.8
   3  7 10  3.95667000E-04  1.16777000E+04
   3  7 11  8.47209000E-03  1.18017000E+04
   3  7 12  4.74259000E-04  1.19319000E+04
   3  7 13  4.42869000E-03  1.21361000E+04
   3  7 14  6.23868000E-04  1.21605000E+04
   3  7 15  1.82646000E-04  1.24272000E+04
   3  7 16  9.55675000E-05  1.24329000E+04
   3  8  8  2.24585000E-02  1.03720000E+04
   3  8  9  8.89134000E-02  1.04840000E+04
   3  8 10  8.12784000E-04  1.21466000E+04
   3  8 11  4.23725000E-03  1.22706000E+04
   3  8 12  5.19737000E-03  1.24008000E+04
   3  8 13  8.24384000E-03  1.26050000E+04
   3  8 14  1.75954000E-02  1.26294000E+04
   3  8 15  1.58627000E-03  1.28961000E+04
   3  8 16  3.19707000E-03  1.29018000E+04
   3  9  9  4.31972000E-03  1.05960000E+04
   3  9 10  3.55924000E-04  1.22586000E+04
   3  9 11  5.25697000E-03  1.23826000E+04
   3  9 12  6.99761000E-04  1.25128000E+04
   3  9 13  1.33980000E-02  1.27170000E+04
   3  9 14  1.55579000E-03  1.27414000E+04
   3  9 15  6.33255000E-04  1.30081000E+04
   3  9 16  2.42037000E-04  1.30138000E+04
   3 10 10  1.96504000E-05  1.39211000E+04
   3 10 11  8.25250000E-04  1.40451000E+04
   3 10 12  8.61902000E-05  1.41754000E+04
   3 10 13  1.24148000E-04  1.43796000E+04
   3 10 14  4.73356000E-05  1.44040000E+04
   3 10 15  2.00965000E-05  1.46707000E+04
   3 10 16  1.11642000E-05  1.46764000E+04
   3 11 11  8.27924000E-04  1.41691000E+04
   3 11 12  2.01353000E-03  1.42994000E+04
   3 11 13  9.24384000E-04  1.45036000E+04
   3 11 14  1.17271000E-03  1.45280000E+04
   3 11 15  5.93911000E-05  1.47947000E+04
   3 11 16  4.06381000E-05  1.48004000E+04
   3 12 12  4.86783000E-05  1.44297000E+04
   3 12 13  9.78499000E-04  1.46339000E+04
   3 12 14  1.28174000E-04  1.46582000E+04
   3 12 15  3.43866000E-05  1.49250000E+04
   3 12 16  1.65235000E-05  1.49307000E+04
   3 13 13  7.49834000E-04  1.48381000E+04
   3 13 14  2.76296000E-03  1.48624000E+04
   3 13 15  1.99618000E-04  1.51292000E+04
   3 13 16  4.06384000E-04  1.51349000E+04
   3 14 14  1.41565000E-04  1.48868000E+04
   3 14 15  8.66324000E-05  1.51535000E+04
   3 14 16  3.39393000E-05  1.51592000E+04
   3 15 15  4.52728000E-06  1.54203000E+04
   3 15 16  3.25969000E-05  1.54260000E+04
   3 16 16  2.25270000E-06  1.54317000E+04
   4  5  0  1.63541000E-02  9.42043000E+03
   4  6  0  1.76691000E-04  9.72560000E+03
   4  7  0  1.59651000E-04  1.02422000E+04
   4  8  0  2.86032000E-02  1.07311000E+04
   4  9  0  2.51881000E-01  1.08389000E+04
   4 10  0  3.72472000E-03  1.24817000E+04
   4 11  0  3.99312000E-05  1.26152000E+04
   4 12  0  4.11832000E-05  1.27395000E+04
   4 13  0  5.40263000E-03  1.29550000E+04
   4 14  0  4.89093000E-02  1.29800000E+04
   4 15  0  4.52112000E-05  1.32594000E+04
   4 16  0  2.52191000E-04  1.32594000E+04
   4 17  0  8.17274000E-04  1.32581000E+04
   4 18  0  8.37674000E-06  1.33019000E+04
   4 19  0  8.76815000E-06  1.33275000E+04
   4 20  0  7.06844000E-04  1.33896000E+04
   4 21  0  6.29773000E-03  1.33928000E+04
   4 24  0  1.13281000E-04  1.34073000E+04
   4 25  0  3.71132000E-07  1.34164000E+04
   4 26  0  3.20292000E-07  1.34186000E+04
   4  5  5  6.73318000E-04  5.47720000E+03
   4  5  6  3.33092000E-04  5.75840000E+03
   4  5  7  2.05136000E-02  6.28420000E+03
   4  5  8  2.64737000E-03  6.75310000E+03
   4  5  9  4.58174000E-03  6.86510000E+03
   4  5 10  2.63433000E-04  8.52767000E+03
   4  5 11  5.93860000E-05  8.65167000E+03
   4  5 12  3.23861000E-03  8.78194000E+03
   4  5 13  2.82634000E-04  8.98615000E+03
   4  5 14  4.52304000E-04  9.01049000E+03
