24
    1 1s1/2 2  9.31060000E+04
    2  6 16  3.01553000E-04  1.28885000E+04
    2  7  7  5.86435000E-04  1.03550000E+04
    2  7  8  1.70690000E-03  1.08330000E+04
    2  7  9  1.03824000E-03  1.09514000E+04
    2  7 10  2.79484000E-03  1.26649000E+04
    2  7 11  5.09939000E-05  1.27922000E+04
    2  7 12  2.16817000E-04  1.29315000E+04
    2  7 13  1.58161000E-04  1.31409000E+04
    2  7 14  7.59135000E-05  1.31670000E+04
    2  7 15  1.34772000E-04  1.34410000E+04
    2  7 16  1.13304000E-04  1.34472000E+04
    2  8  8  7.12557000E-04  1.13110000E+04
    2  8  9  2.07854000E-02  1.14294000E+04
    2  8 10  1.86256000E-03  1.31429000E+04
    2  8 11  2.00335000E-04  1.32702000E+04
    2  8 12  4.62966000E-04  1.34095000E+04
    2  8 13  3.11517000E-04  1.36189000E+04
    2  8 14  3.22316000E-03  1.36450000E+04
    2  8 15  2.46912000E-04  1.39190000E+04
    2  8 16  6.78450000E-04  1.39252000E+04
    2  9  9  5.72702000E-03  1.15478000E+04
    2  9 10  2.39515000E-03  1.32613000E+04
    2  9 11  1.16193000E-03  1.33886000E+04
    2  9 12  2.85071000E-04  1.35279000E+04
    2  9 13  3.11309000E-03  1.37373000E+04
    2  9 14  1.87567000E-03  1.37634000E+04
    2  9 15  7.46871000E-04  1.40374000E+04
    2  9 16  5.61703000E-04  1.40436000E+04
    2 10 10  2.31772000E-04  1.49747000E+04
    2 10 11  4.56444000E-04  1.51021000E+04
    2 10 12  6.82467000E-04  1.52414000E+04
    2 10 13  4.19067000E-04  1.54508000E+04
    2 10 14  5.31219000E-04  1.54768000E+04
    2 10 15  2.99057000E-05  1.57509000E+04
    2 10 16  3.10566000E-05  1.57571000E+04
    2 11 12  1.03522000E-05  1.53687000E+04
    2 11 13  3.46983000E-05  1.55781000E+04
    2 11 14  1.72336000E-04  1.56042000E+04
    2 11 15  1.20781000E-05  1.58782000E+04
    2 11 16  4.79263000E-05  1.58844000E+04
    2 12 12  1.91720000E-05  1.55081000E+04
    2 12 13  4.79274000E-05  1.57175000E+04
    2 12 14  2.60726000E-05  1.57435000E+04
    2 12 15  2.85645000E-05  1.60175000E+04
    2 12 16  2.33888000E-05  1.60237000E+04
    2 13 13  3.14403000E-05  1.59269000E+04
    2 13 14  5.28732000E-04  1.59529000E+04
    2 13 15  3.71920000E-05  1.62269000E+04
    2 13 16  7.74498000E-05  1.62331000E+04
    2 14 14  1.64869000E-04  1.59789000E+04
    2 14 15  9.02881000E-05  1.62530000E+04
    2 14 16  7.55320000E-05  1.62592000E+04
    2 15 15  1.04503000E-06  1.65270000E+04
    2 15 16  2.04832000E-05  1.65332000E+04
    2 16 16  4.81724000E-06  1.65394000E+04
    3  4  0  1.42510000E-05  2.48000000E+03
    3  5  0  9.22361000E-03  1.20847000E+04
    3  7  0  3.97631000E-04  1.29457000E+04
    3  8  0  3.37160000E-01  1.34471000E+04
    3 10  0  2.40580000E-03  1.52510000E+04
    3 12  0  1.12280000E-04  1.55227000E+04
    3 13  0  7.03941000E-02  1.57442000E+04
    3 15  0  3.25160000E-04  1.60531000E+04
    3 17  0  5.35061000E-04  1.61157000E+04
    3 19  0  2.31910000E-05  1.61895000E+04
    3 20  0  9.95871000E-03  1.62548000E+04
    3 24  0  8.07161000E-05  1.62767000E+04
    3 26  0  1.40610000E-06  1.62896000E+04
